run_id,operating_point,final_v002_purity,prediction,true_outcome,stop,learner,seed,stop_quantile,round
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__test_anormal_experiment_001,operating_point_015,0.721089595799512,0.7228348,0.721089595799512,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__train_normal_experiment_001,operating_point_015,0.6844901545813868,0.6498695,0.6844901545813868,True,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__test_anormal_experiment_001,operating_point_016,0.6868716597635698,0.9519573,0.6868716597635698,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__train_normal_experiment_001,operating_point_016,0.6853377264416467,0.9347624,0.6853377264416467,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__test_anormal_experiment_001,operating_point_022,0.6832104934548542,0.698306,0.6832104934548542,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__train_normal_experiment_001,operating_point_022,0.6811837097008695,0.69100314,0.6811837097008695,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_001,operating_point_026,0.676670446781282,0.68517894,0.676670446781282,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_002,operating_point_026,0.6789898851018339,0.6843315,0.6789898851018339,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__train_normal_experiment_001,operating_point_026,0.681401563038853,0.6713821,0.681401563038853,False,oracle_all_endpoints,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__test_anormal_experiment_001,operating_point_015,0.721089595799512,0.7376749,0.721089595799512,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__train_normal_experiment_001,operating_point_015,0.6844901545813868,0.6421092,0.6844901545813868,True,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__test_anormal_experiment_001,operating_point_016,0.6868716597635698,0.9494337,0.6868716597635698,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__train_normal_experiment_001,operating_point_016,0.6853377264416467,0.93753576,0.6853377264416467,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__test_anormal_experiment_001,operating_point_022,0.6832104934548542,0.6939194,0.6832104934548542,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__train_normal_experiment_001,operating_point_022,0.6811837097008695,0.69042,0.6811837097008695,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_001,operating_point_026,0.676670446781282,0.69357604,0.676670446781282,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_002,operating_point_026,0.6789898851018339,0.6751352,0.6789898851018339,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__train_normal_experiment_001,operating_point_026,0.681401563038853,0.6827984,0.681401563038853,False,completed_only,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__test_anormal_experiment_001,operating_point_015,0.721089595799512,0.72953314,0.721089595799512,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_015__train_normal_experiment_001,operating_point_015,0.6844901545813868,0.6362975,0.6844901545813868,True,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__test_anormal_experiment_001,operating_point_016,0.6868716597635698,0.9553215,0.6868716597635698,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_016__train_normal_experiment_001,operating_point_016,0.6853377264416467,0.9359033,0.6853377264416467,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__test_anormal_experiment_001,operating_point_022,0.6832104934548542,0.6917888,0.6832104934548542,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_022__train_normal_experiment_001,operating_point_022,0.6811837097008695,0.70108217,0.6811837097008695,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_001,operating_point_026,0.676670446781282,0.69515306,0.676670446781282,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__test_anormal_experiment_002,operating_point_026,0.6789898851018339,0.68727523,0.6789898851018339,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_026__train_normal_experiment_001,operating_point_026,0.681401563038853,0.67907685,0.681401563038853,False,static_initial,0,0.2,1
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_008__test_anormal_experiment_001,operating_point_008,0.6431476053470059,0.6385524,0.6431476053470059,True,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_008__test_anormal_experiment_002,operating_point_008,0.4951805548141248,0.6107025,0.4951805548141248,True,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_010__test_anormal_experiment_001,operating_point_010,0.6667464410693288,0.61462176,0.6667464410693288,True,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_010__train_normal_experiment_001,operating_point_010,0.6271217656332728,0.6705794,0.6271217656332728,False,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_017__test_anormal_experiment_001,operating_point_017,0.6789549894914293,0.6843162,0.6789549894914293,False,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_017__train_normal_experiment_001,operating_point_017,0.6724500963647279,0.68086016,0.6724500963647279,False,oracle_all_endpoints,0,0.2,2
batch_dist_ternary_butan-1-ol+propan-2-ol+water__operating_point_020__train_normal_experiment_001,operating_point_020,0.6924323198414503,0.7091365,0.6924323198414503,False,oracle_all_endpoints,0,0.2,2
