run_id,mixture,operating_point,final_v002_purity,final_v002_component,final_v001_purity,final_v001_component,gc_rows
batch_dist_binary_ethanol+propan-2-ol__operating_point_001__test_anormal_experiment_001,batch_dist_binary_ethanol+propan-2-ol,operating_point_001,,,0.636909291236512,ethanol,2854
batch_dist_binary_ethanol+propan-2-ol__operating_point_001__test_anormal_experiment_002,batch_dist_binary_ethanol+propan-2-ol,operating_point_001,,,0.6863328512740352,ethanol,514
batch_dist_binary_ethanol+propan-2-ol__operating_point_002__train_normal_experiment_002,batch_dist_binary_ethanol+propan-2-ol,operating_point_002,0.8558843607462356,ethanol,0.6560543344232223,ethanol,7118
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_001__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_001,0.7793467741208475,methanol,1.0,butan-1-ol,5457
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_001__test_anormal_experiment_002,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_001,0.7073610235106318,methanol,0.9710285866246072,butan-1-ol,3440
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_002__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_002,0.5212433752519567,methanol,0.6373775529461119,butan-1-ol,4155
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_002__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_002,0.5983274613155629,methanol,0.6467240189681371,butan-1-ol,3512
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_003__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_003,0.5279566585383422,methanol,0.7709561389499475,butan-1-ol,3526
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_003__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_003,0.6821567449714401,methanol,0.8939193777530896,butan-1-ol,4879
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_004__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_004,0.8428618908463588,acetone,0.5125960090314943,butan-1-ol,4238
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_004__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_004,0.8536232622828172,acetone,0.4446768530245505,butan-1-ol,4403
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_005__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_005,0.5381445655054129,methanol,0.97911508317139,butan-1-ol,3570
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_005__test_anormal_experiment_002,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_005,0.5718771251098211,methanol,0.835755867249544,butan-1-ol,3515
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_006__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_006,0.5192997651223262,acetone,0.6033477623307026,butan-1-ol,1308
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_006__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_006,0.5300619463814193,methanol,0.976908693827446,butan-1-ol,2340
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_007__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_007,0.6291167676751996,acetone,0.5102202089840029,butan-1-ol,2751
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_007__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_007,0.7672313093097739,acetone,0.4466126145695958,butan-1-ol,2954
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_009__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_009,0.7855672802662063,acetone,0.5706622737780447,butan-1-ol,2411
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_009__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_009,0.5931918328504562,methanol,0.6950123184008641,butan-1-ol,3782
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_010__train_normal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_010,0.5880048068473721,methanol,0.6851650986133513,butan-1-ol,4141
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_011__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_011,0.5717802830641565,acetone,0.6772598717042801,butan-1-ol,4129
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_011__test_anormal_experiment_002,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_011,0.6395782749869916,methanol,0.9452828310244854,butan-1-ol,1862
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_012__test_anormal_experiment_001,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_012,0.5103605341246897,acetone,0.6996362411414383,butan-1-ol,3081
batch_dist_ternary_acetone+butan-1-ol+methanol__operating_point_012__test_anormal_experiment_002,batch_dist_ternary_acetone+butan-1-ol+methanol,operating_point_012,0.7686175703534204,methanol,0.8793444504291736,butan-1-ol,3742
